9726 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9726 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9727 DEBUG [2018-06-25 10:58:39]  Creating implicit proxy for bean 'userAPIWriteManage' with 0 common interceptors and 4 specific interceptors
9727 DEBUG [2018-06-25 10:58:39]  Creating JDK dynamic proxy: target source is SingletonTargetSource for target object [com.people2000.user.business.write.manage.impl.UserAPIWriteManageImpl@5c08c46a]
9729 DEBUG [2018-06-25 10:58:39]  Finished creating instance of bean 'userAPIWriteManage'
9729 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'userCookieWriteManage'
9729 DEBUG [2018-06-25 10:58:39]  Creating shared instance of singleton bean 'userLoginWriteManage'
9729 DEBUG [2018-06-25 10:58:39]  Creating instance of bean 'userLoginWriteManage'
9729 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9729 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9729 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9729 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9729 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9730 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9730 DEBUG [2018-06-25 10:58:39]  Registered injected element on class [com.people2000.user.business.write.manage.impl.UserLoginWriteManageImpl]: ResourceElement for private com.people2000.user.business.write.dao.ext.UserLoginDAOWrite2 com.people2000.user.business.write.manage.impl.UserLoginWriteManageImpl.userLoginDAOWrite
9730 DEBUG [2018-06-25 10:58:39]  Eagerly caching bean 'userLoginWriteManage' to allow for resolving potential circular references
9732 DEBUG [2018-06-25 10:58:39]  Processing injected method of bean 'userLoginWriteManage': ResourceElement for private com.people2000.user.business.write.dao.ext.UserLoginDAOWrite2 com.people2000.user.business.write.manage.impl.UserLoginWriteManageImpl.userLoginDAOWrite
9732 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'userLoginDAOWrite'
9732 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9732 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9732 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9732 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9732 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9732 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9732 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9732 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9733 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9733 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9733 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9733 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9734 DEBUG [2018-06-25 10:58:39]  Creating implicit proxy for bean 'userLoginWriteManage' with 0 common interceptors and 4 specific interceptors
9734 DEBUG [2018-06-25 10:58:39]  Creating JDK dynamic proxy: target source is SingletonTargetSource for target object [com.people2000.user.business.write.manage.impl.UserLoginWriteManageImpl@4218500f]
9736 DEBUG [2018-06-25 10:58:39]  Finished creating instance of bean 'userLoginWriteManage'
9736 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'userRoleWriteManage'
9736 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'userWriteManage'
9736 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
9736 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
9736 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.context.annotation.internalRequiredAnnotationProcessor'
9736 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
9736 DEBUG [2018-06-25 10:58:39]  Creating shared instance of singleton bean 'userService'
9736 DEBUG [2018-06-25 10:58:39]  Creating instance of bean 'userService'
9736 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9737 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9737 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9737 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
9737 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#2'
9737 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#3'
9737 DEBUG [2018-06-25 10:58:39]  Registered injected element on class [com.people2000.user.service.UserServiceImpl]: ResourceElement for private com.people2000.user.business.write.manage.UserCookieWriteManage com.people2000.user.service.UserServiceImpl.userCookieWriteManage
9737 DEBUG [2018-06-25 10:58:39]  Eagerly caching bean 'userService' to allow for resolving potential circular references
9744 DEBUG [2018-06-25 10:58:39]  Processing injected method of bean 'userService': ResourceElement for private com.people2000.user.business.write.manage.UserCookieWriteManage com.people2000.user.service.UserServiceImpl.userCookieWriteManage
9744 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'userCookieWriteManage'
9744 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
9744 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'
9744 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#0'
9744 DEBUG [2018-06-25 10:58:39]  Returning cached instance of singleton bean 'org.springframework.aop.aspectj.AspectJPointcutAdvisor#1'
